bout_id,fighter_id,round,fighter,h_ss_s,h_ss_s_pr_di,h_ss_s_p15m,h_ss_s_p15m_di,h_ss_a,h_ss_a_pr_di,h_ss_a_p15m,h_ss_a_p15m_di,b_ss_s,b_ss_s_pr_di,b_ss_s_p15m,b_ss_s_p15m_di,b_ss_a,b_ss_a_pr_di,b_ss_a_p15m,b_ss_a_p15m_di,l_ss_s,l_ss_s_pr_di,l_ss_s_p15m,l_ss_s_p15m_di,l_ss_a,l_ss_a_pr_di,l_ss_a_p15m,l_ss_a_p15m_di
f747fbe721cdb042,8c3f3c43c8ceb778,1,Justin Levens,0,-6,0.0,-27.835051546391753,1,-10,4.639175257731959,-46.39175257731959,1,-1,4.639175257731959,-4.639175257731959,2,-1,9.278350515463918,-4.639175257731958,1,-1,4.639175257731959,-4.639175257731959,1,-2,4.639175257731959,-9.278350515463917
f754d17d5047d536,3a8176e15b9887c1,1,Chris Weidman,2,0,14.173228346456694,0.0,4,-3,28.34645669291339,-21.25984251968504,1,1,7.086614173228347,7.086614173228347,2,2,14.173228346456694,14.173228346456694,0,0,0.0,0.0,0,0,0.0,0.0
f767243bb48ab9d7,103b06d8707895a9,1,Emil Meek,2,-2,6.0,-6.0,9,4,27.0,12.0,1,-4,3.0,-12.0,1,-4,3.0,-12.0,0,-4,0.0,-12.0,0,-4,0.0,-12.0
f767243bb48ab9d7,103b06d8707895a9,2,Emil Meek,8,-7,24.0,-21.0,24,0,72.0,0.0,3,1,9.0,3.0,5,3,15.0,9.0,2,1,6.0,3.0,2,1,6.0,3.0
f767243bb48ab9d7,103b06d8707895a9,3,Emil Meek,10,0,30.0,0.0,21,6,63.0,18.0,3,1,9.0,3.0,4,1,12.0,3.0,1,-6,3.0,-18.0,1,-6,3.0,-18.0
f77e3c681fe1b04e,98215d037be5bcb7,3,Cynthia Calvillo,11,-1,33.0,-3.0,53,-7,159.0,-21.0,0,0,0.0,0.0,1,0,3.0,0.0,0,-10,0.0,-30.0,1,-10,3.0,-30.0
f77e3c681fe1b04e,98215d037be5bcb7,2,Cynthia Calvillo,14,4,42.0,12.0,37,1,111.0,3.0,2,-1,6.0,-3.0,2,-2,6.0,-6.0,0,-7,0.0,-21.0,1,-6,3.0,-18.0
f77e3c681fe1b04e,98215d037be5bcb7,1,Cynthia Calvillo,10,5,30.0,15.0,16,-2,48.0,-6.0,1,1,3.0,3.0,1,1,3.0,3.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
f786136e55007e17,3c6976f8182d9527,1,Alexander Gustafsson,9,8,54.0,48.0,15,13,90.0,78.0,2,2,12.0,12.0,4,4,24.0,24.0,0,-3,0.0,-18.0,0,-3,0.0,-18.0
f7ae397fefa57c70,065eb44700e641a4,3,Devin Powell,5,1,15.0,3.0,13,-1,39.0,-3.0,4,3,12.0,9.0,5,4,15.0,12.0,11,9,33.0,27.0,14,12,42.0,36.0
f7ae397fefa57c70,065eb44700e641a4,1,Devin Powell,4,-5,12.0,-15.0,18,-5,54.0,-15.0,2,2,6.0,6.0,2,2,6.0,6.0,6,5,18.0,15.0,8,7,24.0,21.0
f7ae397fefa57c70,065eb44700e641a4,2,Devin Powell,6,-12,18.0,-36.0,11,-22,33.0,-66.0,2,1,6.0,3.0,2,1,6.0,3.0,3,2,9.0,6.0,6,5,18.0,15.0
f7bd56e197bab2a6,d1e1fdcea7c8a90a,2,Leandro Issa,8,-19,24.080267558528426,-57.19063545150501,28,-24,84.2809364548495,-72.24080267558529,1,-2,3.0100334448160533,-6.020066889632106,4,1,12.040133779264213,3.010033444816054,3,2,9.030100334448159,6.020066889632106,3,2,9.030100334448159,6.020066889632106
f7bd56e197bab2a6,d1e1fdcea7c8a90a,1,Leandro Issa,4,-7,12.0,-21.0,17,-12,51.0,-36.0,0,0,0.0,0.0,0,0,0.0,0.0,1,0,3.0,0.0,2,1,6.0,3.0
f7c9f7a6edca5299,4f732e58ed907eff,1,Ross Pearson,3,-11,9.0,-33.0,34,-17,102.0,-51.0,3,1,9.0,3.0,4,2,12.0,6.0,7,5,21.0,15.0,7,5,21.0,15.0
f7c9f7a6edca5299,4f732e58ed907eff,2,Ross Pearson,10,-11,30.0,-33.0,39,-32,117.0,-96.0,2,-3,6.0,-9.0,8,1,24.0,3.0,9,6,27.0,18.0,11,8,33.0,24.0
f7c9f7a6edca5299,4f732e58ed907eff,3,Ross Pearson,8,-20,24.0,-60.0,35,-37,105.0,-111.0,5,3,15.0,9.0,10,5,30.0,15.0,5,4,15.0,12.0,7,6,21.0,18.0
f7cce33f6563dd72,0845c81e37d3bcb3,1,Volkan Oezdemir,12,7,36.0,21.0,35,17,105.0,51.0,4,4,12.0,12.0,4,3,12.0,9.0,6,6,18.0,18.0,6,6,18.0,18.0
f7cce33f6563dd72,0845c81e37d3bcb3,2,Volkan Oezdemir,32,21,106.2730627306273,69.74169741697416,79,43,262.36162361623616,142.80442804428043,7,5,23.247232472324722,16.605166051660515,10,5,33.210332103321036,16.605166051660518,3,3,9.963099630996311,9.963099630996311,3,3,9.963099630996311,9.963099630996311
f7cd0a90da3be3b2,365fee2da473b177,1,Anthony Johnson,7,0,21.0,0.0,18,-8,54.0,-24.0,4,3,12.0,9.0,6,3,18.0,9.0,9,4,27.0,12.0,11,5,33.0,15.0
f7cd0a90da3be3b2,365fee2da473b177,3,Anthony Johnson,4,4,128.57142857142858,128.57142857142858,7,4,225.0,128.57142857142856,2,2,64.28571428571429,64.28571428571429,2,2,64.28571428571429,64.28571428571429,1,0,32.142857142857146,0.0,1,0,32.142857142857146,0.0
f7cd0a90da3be3b2,365fee2da473b177,2,Anthony Johnson,4,4,12.0,12.0,14,11,42.0,33.0,3,3,9.0,9.0,4,4,12.0,12.0,1,-2,3.0,-6.0,1,-2,3.0,-6.0
f7e5e9fdcbff28b3,22edaf53ad59a967,1,Daniel Roberts,1,1,12.328767123287673,12.328767123287673,8,5,98.63013698630138,61.643835616438366,0,0,0.0,0.0,0,0,0.0,0.0,1,1,12.328767123287673,12.328767123287673,2,2,24.657534246575345,24.657534246575345
f7fac3df5c6dc91f,f2ad06f1007c481a,2,Alan Omer,17,8,51.0,24.0,31,9,93.0,27.0,2,2,6.0,6.0,2,0,6.0,0.0,3,3,9.0,9.0,3,3,9.0,9.0
f7fac3df5c6dc91f,f2ad06f1007c481a,1,Alan Omer,11,6,33.0,18.0,31,-6,93.0,-18.0,3,0,9.0,0.0,5,0,15.0,0.0,7,-2,21.0,-6.0,8,-3,24.0,-9.0
f7fac3df5c6dc91f,f2ad06f1007c481a,3,Alan Omer,5,-1,15.0,-3.0,8,-3,24.0,-9.0,5,3,15.0,9.0,8,6,24.0,18.0,5,3,15.0,9.0,5,2,15.0,6.0
f7fd4b82e827c9c4,8d03ce87ca14e778,1,Francis Ngannou,9,5,27.0,15.0,16,9,48.0,27.0,1,1,3.0,3.0,1,1,3.0,3.0,3,3,9.0,9.0,4,4,12.0,12.0
f7fd4b82e827c9c4,8d03ce87ca14e778,2,Francis Ngannou,10,9,52.02312138728324,46.820809248554916,22,19,114.45086705202313,98.84393063583815,2,2,10.404624277456648,10.404624277456648,2,2,10.404624277456648,10.404624277456648,0,0,0.0,0.0,0,0,0.0,0.0
f7ffa11d592f4092,d05412b513b19621,2,Guido Cannetti,10,1,30.0,3.0,16,-3,48.0,-9.0,2,1,6.0,3.0,4,2,12.0,6.0,2,1,6.0,3.0,3,2,9.0,6.0
f7ffa11d592f4092,d05412b513b19621,1,Guido Cannetti,0,0,0.0,0.0,7,0,21.0,0.0,8,7,24.0,21.0,8,6,24.0,18.0,0,0,0.0,0.0,1,-2,3.0,-6.0
f7ffa11d592f4092,d05412b513b19621,3,Guido Cannetti,3,3,9.0,9.0,5,4,15.0,12.0,7,6,21.0,18.0,7,4,21.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
f817a161eb72e685,6c2030e0a143a94b,3,Chris Camozzi,19,8,57.0,24.0,43,9,129.0,27.0,9,9,27.0,27.0,10,9,30.0,27.0,4,3,12.0,9.0,4,3,12.0,9.0
f817a161eb72e685,6c2030e0a143a94b,2,Chris Camozzi,5,-11,15.0,-33.0,13,-13,39.0,-39.0,10,5,30.0,15.0,12,7,36.0,21.0,7,5,21.0,15.0,9,7,27.0,21.0
f817a161eb72e685,6c2030e0a143a94b,1,Chris Camozzi,8,-1,24.0,-3.0,26,4,78.0,12.0,6,4,18.0,12.0,7,5,21.0,15.0,6,1,18.0,3.0,6,1,18.0,3.0
f81cd5b3903bccf8,98aa60cf58071fd6,2,Kyoji Horiguchi,13,12,39.0,36.0,29,19,87.0,57.0,2,1,6.0,3.0,4,1,12.0,3.0,2,-4,6.0,-12.0,2,-6,6.0,-18.0
f81cd5b3903bccf8,98aa60cf58071fd6,1,Kyoji Horiguchi,5,2,15.0,6.0,20,2,60.0,6.0,4,3,12.0,9.0,5,1,15.0,3.0,2,-2,6.0,-6.0,2,-5,6.0,-15.0
f81cd5b3903bccf8,98aa60cf58071fd6,3,Kyoji Horiguchi,12,10,36.0,30.0,40,11,120.0,33.0,4,4,12.0,12.0,6,3,18.0,9.0,0,-5,0.0,-15.0,0,-7,0.0,-21.0
f81f8cfe30e0a1e9,483a953b18d73bb3,1,Deron Winn,24,4,72.0,12.0,75,19,225.0,57.0,11,6,33.0,18.0,12,7,36.0,21.0,2,2,6.0,6.0,2,2,6.0,6.0
f81f8cfe30e0a1e9,483a953b18d73bb3,2,Deron Winn,56,25,168.0,75.0,134,70,402.0,210.0,21,16,63.0,48.0,26,21,78.0,63.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
f81f8cfe30e0a1e9,483a953b18d73bb3,3,Deron Winn,45,6,135.0,18.0,107,21,321.0,63.0,7,0,21.0,0.0,8,1,24.0,3.0,3,3,9.0,9.0,3,3,9.0,9.0
f820c6292e19d854,0d980975001ae3d8,2,Shamil Gamzatov,1,-5,3.0,-15.0,19,1,57.0,3.0,10,6,30.0,18.0,12,8,36.0,24.0,9,4,27.0,12.0,15,10,45.0,30.0
f820c6292e19d854,0d980975001ae3d8,3,Shamil Gamzatov,4,2,12.0,6.0,15,1,45.0,3.0,6,6,18.0,18.0,12,8,36.0,24.0,4,-1,12.0,-3.0,5,-1,15.0,-3.0
f820c6292e19d854,0d980975001ae3d8,1,Shamil Gamzatov,5,2,15.0,6.0,25,9,75.0,27.0,7,4,21.0,12.0,10,3,30.0,9.0,18,14,54.0,42.0,25,21,75.0,63.0
f825e17e7a1332cd,6f018c039b4d5d80,2,Jon Fitch,7,3,21.0,9.0,12,-2,36.0,-6.0,3,2,9.0,6.0,5,4,15.0,12.0,4,4,12.0,12.0,4,3,12.0,9.0
f825e17e7a1332cd,6f018c039b4d5d80,1,Jon Fitch,1,-3,3.0,-9.0,9,1,27.0,3.0,5,5,15.0,15.0,6,6,18.0,18.0,1,-1,3.0,-3.0,1,-1,3.0,-3.0
f825e17e7a1332cd,6f018c039b4d5d80,3,Jon Fitch,21,20,63.0,60.0,30,27,90.0,81.0,1,1,3.0,3.0,1,1,3.0,3.0,4,4,12.0,12.0,4,4,12.0,12.0
f82c414666fe934c,b788862dd1c11eac,2,Brendan Loughnane,16,7,48.0,21.0,34,-14,102.0,-42.0,5,1,15.0,3.0,5,0,15.0,0.0,9,1,27.0,3.0,9,-3,27.0,-9.0
f82c414666fe934c,b788862dd1c11eac,3,Brendan Loughnane,16,4,48.0,12.0,32,-15,96.0,-45.0,4,-1,12.0,-3.0,5,0,15.0,0.0,5,3,15.0,9.0,5,3,15.0,9.0
f82c414666fe934c,b788862dd1c11eac,1,Brendan Loughnane,4,-4,12.0,-12.0,11,-18,33.0,-54.0,2,2,6.0,6.0,2,2,6.0,6.0,14,8,42.0,24.0,16,5,48.0,15.0
