bout_id,fighter_id,round,fighter,td_s,td_s_pr_di,td_s_p15m,td_s_p15m_di,td_a,td_a_pr_di,td_a_p15m,td_a_p15m_di,sba,sba_pr_di,sba_p15m,sba_p15m_di,rev,rev_pr_di,rev_p15m,rev_p15m_di,ps,ps_pr_di,ps_p15m,ps_p15m_di
9afda67fdb4d7c07,c06a9b48d4132c8e,3,James Moontasri,0,-1,0.0,-3.0,0,-4,0.0,-12.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9afda67fdb4d7c07,c06a9b48d4132c8e,2,James Moontasri,0,-2,0.0,-6.0,0,-3,0.0,-9.0,0,-2,0.0,-6.0,0,0,0.0,0.0,1,0,3.0,0.0
9afda67fdb4d7c07,c06a9b48d4132c8e,1,James Moontasri,0,0,0.0,0.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b0de83b4e504bf6,dbc17725b887860a,1,Cezar Ferreira,0,-1,0.0,-3.0,0,-1,0.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-2,0.0,-6.0
9b0de83b4e504bf6,dbc17725b887860a,2,Cezar Ferreira,0,-1,0.0,-3.0,1,-1,3.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b0de83b4e504bf6,dbc17725b887860a,3,Cezar Ferreira,0,0,0.0,0.0,4,3,12.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b10db4499b211b7,c80095f6092271a7,1,Tim Boetsch,0,0,0.0,0.0,1,1,7.03125,7.03125,0,-2,0.0,-14.0625,0,0,0.0,0.0,0,0,0.0,0.0
9b1386a28b81bcd5,6fb1ba67bef41b37,1,Nik Lentz,4,4,12.0,12.0,5,5,15.0,15.0,0,0,0.0,0.0,0,0,0.0,0.0,3,3,9.0,9.0
9b1386a28b81bcd5,6fb1ba67bef41b37,2,Nik Lentz,1,1,3.501945525291829,3.501945525291829,1,0,3.501945525291829,0.0,1,1,3.501945525291829,3.501945525291829,0,0,0.0,0.0,5,4,17.509727626459142,14.007782101167313
9b1e3d99fffb9c10,89a407032911e27e,1,Brendan Schaub,1,0,3.1034482758620694,0.0,3,2,9.310344827586208,6.206896551724139,0,0,0.0,0.0,0,0,0.0,0.0,0,-5,0.0,-15.517241379310347
9b38456520395242,f34312c2ccfa0e00,2,Spencer Fisher,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b38456520395242,f34312c2ccfa0e00,3,Spencer Fisher,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b38456520395242,f34312c2ccfa0e00,1,Spencer Fisher,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b39e15b42422a08,d1941565abf50b16,1,Jim Miller,0,0,0.0,0.0,0,0,0.0,0.0,1,1,6.206896551724139,6.206896551724139,0,0,0.0,0.0,1,1,6.206896551724139,6.206896551724139
9b4bff38430a01eb,cbb682f5fcc44bfc,1,Anthony Pettis,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b6806203bc4875a,a1b0715c4fd2dbd3,1,Azamat Gashimov,1,1,5.48780487804878,5.48780487804878,1,1,5.48780487804878,5.48780487804878,0,-1,0.0,-5.48780487804878,0,0,0.0,0.0,0,0,0.0,0.0
9b79c05aa978c066,fa6796c55d6c5440,1,Curtis Blaydes,1,1,3.0,3.0,3,3,9.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
9b79c05aa978c066,fa6796c55d6c5440,2,Curtis Blaydes,1,1,3.0,3.0,3,3,9.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,1,1,3.0,3.0
9b8c29f50d452025,d1941565abf50b16,1,Jim Miller,1,1,3.0,3.0,1,0,3.0,0.0,3,3,9.0,9.0,0,0,0.0,0.0,6,6,18.0,18.0
9b8c29f50d452025,d1941565abf50b16,3,Jim Miller,1,1,4.522613065326633,4.522613065326633,1,1,4.522613065326633,4.522613065326633,1,1,4.522613065326633,4.522613065326633,0,0,0.0,0.0,3,3,13.567839195979898,13.567839195979898
9b8c29f50d452025,d1941565abf50b16,2,Jim Miller,3,3,9.0,9.0,4,4,12.0,12.0,1,0,3.0,0.0,0,-1,0.0,-3.0,5,5,15.0,15.0
