bout_id,fighter_id,round,fighter,d_ss_s,d_ss_s_pr_di,d_ss_s_p15m,d_ss_s_p15m_di,d_ss_a,d_ss_a_pr_di,d_ss_a_p15m,d_ss_a_p15m_di,c_ss_s,c_ss_s_pr_di,c_ss_s_p15m,c_ss_s_p15m_di,c_ss_a,c_ss_a_pr_di,c_ss_a_p15m,c_ss_a_p15m_di,g_ss_s,g_ss_s_pr_di,g_ss_s_p15m,g_ss_s_p15m_di,g_ss_a,g_ss_a_pr_di,g_ss_a_p15m,g_ss_a_p15m_di
671048cd1933855a,9c65736747ca92ec,3,Leonardo Santos,7,4,21.0,12.0,19,-5,57.0,-15.0,1,-7,3.0,-21.0,2,-12,6.0,-36.0,0,0,0.0,0.0,0,0,0.0,0.0
98cea844501261a9,fcd448a2fe1a23cc,1,Gian Villante,1,0,3.0,0.0,2,-1,6.0,-3.0,4,4,12.0,12.0,4,4,12.0,12.0,10,10,30.0,30.0,14,14,42.0,42.0
98cea844501261a9,fcd448a2fe1a23cc,2,Gian Villante,9,-45,27.0,-135.0,34,-61,102.0,-183.0,3,-1,9.0,-3.0,8,3,24.0,9.0,2,1,6.0,3.0,2,0,6.0,0.0
98cea844501261a9,fcd448a2fe1a23cc,3,Gian Villante,4,-66,12.0,-198.0,28,-81,84.0,-243.0,0,-2,0.0,-6.0,0,-3,0.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0
fcb3e9f89987d519,e51fcd9cd84c0b93,1,Michel Prazeres,3,2,9.0,6.0,6,3,18.0,9.0,3,3,9.0,9.0,3,3,9.0,9.0,5,5,15.0,15.0,6,4,18.0,12.0
fcb3e9f89987d519,e51fcd9cd84c0b93,2,Michel Prazeres,13,4,39.0,12.0,27,-6,81.0,-18.0,1,1,3.0,3.0,1,0,3.0,0.0,1,1,3.0,3.0,1,-2,3.0,-6.0
fcb3e9f89987d519,e51fcd9cd84c0b93,3,Michel Prazeres,8,-5,24.0,-15.0,20,-25,60.0,-75.0,1,-2,3.0,-6.0,3,-1,9.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0
995f0dcdcd5fe43c,d188a3b817860ec6,1,Steven Siler,10,7,116.88311688311687,81.81818181818181,21,13,245.45454545454544,151.94805194805195,0,0,0.0,0.0,0,0,0.0,0.0,1,1,11.688311688311687,11.688311688311687,1,1,11.688311688311687,11.688311688311687
283c0b3b7e425252,dea070ed4a2a8281,1,Thiago Santos,1,1,16.9811320754717,16.9811320754717,5,4,84.9056603773585,67.9245283018868,0,0,0.0,0.0,0,0,0.0,0.0,6,6,101.88679245283019,101.88679245283019,11,11,186.7924528301887,186.7924528301887
a5827bfce19e63ea,b102c26727306ab6,1,Jussier Formiga,6,0,28.87700534759358,0.0,19,-4,91.44385026737967,-19.25133689839572,2,2,9.62566844919786,9.62566844919786,2,1,9.62566844919786,4.81283422459893,1,1,4.81283422459893,4.81283422459893,2,2,9.62566844919786,9.62566844919786
5464d7ccb4177464,c1a5d3843596df92,1,Thiago Perpetuo,0,-3,0.0,-25.714285714285715,1,-3,8.571428571428571,-25.714285714285715,0,0,0.0,0.0,0,0,0.0,0.0,0,-6,0.0,-51.42857142857143,0,-10,0.0,-85.71428571428571
8e87b33bea7c5da9,b69f24c500d783e7,1,Francimar Barroso,3,-2,9.0,-6.0,9,1,27.0,3.0,3,-4,9.0,-12.0,4,-3,12.0,-9.0,3,-5,9.0,-15.0,4,-8,12.0,-24.0
4911fcfb1b28faa5,6f7c616b98e18c29,2,Claudio Silva,16,-8,48.0,-24.0,34,-7,102.0,-21.0,1,-3,3.0,-9.0,4,-1,12.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0
8e87b33bea7c5da9,b69f24c500d783e7,2,Francimar Barroso,11,7,33.0,21.0,19,0,57.0,0.0,5,0,15.0,0.0,7,1,21.0,3.0,2,2,6.0,6.0,3,3,9.0,9.0
8e87b33bea7c5da9,b69f24c500d783e7,3,Francimar Barroso,7,-4,21.0,-12.0,16,-5,48.0,-15.0,1,-3,3.0,-9.0,2,-2,6.0,-6.0,1,1,3.0,3.0,3,3,9.0,9.0
8f120352072bd5ed,fa37628269132d1a,1,Godofredo Pepey,3,-4,16.9811320754717,-22.641509433962263,17,1,96.22641509433963,5.660377358490578,2,-2,11.320754716981131,-11.320754716981131,5,-1,28.30188679245283,-5.6603773584905674,0,0,0.0,0.0,1,1,5.660377358490566,5.660377358490566
cdf58f62e289efec,f2925e6db404bf1d,1,Robbie Lawler,12,2,36.0,6.0,31,-5,93.0,-15.0,1,-4,3.0,-12.0,2,-4,6.0,-12.0,0,0,0.0,0.0,0,0,0.0,0.0
cdf58f62e289efec,f2925e6db404bf1d,2,Robbie Lawler,21,-16,63.0,-48.0,58,-42,174.0,-126.0,0,-5,0.0,-15.0,1,-8,3.0,-24.0,0,0,0.0,0.0,0,0,0.0,0.0
cdf58f62e289efec,f2925e6db404bf1d,3,Robbie Lawler,42,12,126.0,36.0,86,2,258.0,6.0,1,-2,3.0,-6.0,3,-3,9.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0
cdf58f62e289efec,f2925e6db404bf1d,4,Robbie Lawler,54,20,162.0,60.0,102,9,306.0,27.0,2,2,6.0,6.0,2,2,6.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0
cdf58f62e289efec,f2925e6db404bf1d,5,Robbie Lawler,17,-10,51.0,-30.0,44,-12,132.0,-36.0,0,-5,0.0,-15.0,2,-3,6.0,-9.0,0,-2,0.0,-6.0,0,-2,0.0,-6.0
ba38b96f39db78c0,f9f07bb5a43535ed,1,Carlos Condit,5,0,15.0,0.0,25,11,75.0,33.0,3,-3,9.0,-9.0,4,-5,12.0,-15.0,0,0,0.0,0.0,0,0,0.0,0.0
ba38b96f39db78c0,f9f07bb5a43535ed,2,Carlos Condit,5,2,37.5,15.0,14,8,105.0,60.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
d4d4aded862ace46,82e7929bf6c2b689,1,Diego Sanchez,5,-11,15.0,-33.0,28,-7,84.0,-21.0,3,2,9.0,6.0,3,2,9.0,6.0,1,-1,3.0,-3.0,1,-1,3.0,-3.0
d4d4aded862ace46,82e7929bf6c2b689,2,Diego Sanchez,6,-10,18.0,-30.0,29,-12,87.0,-36.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0,0,-2,0.0,-6.0,0,-2,0.0,-6.0
d4d4aded862ace46,82e7929bf6c2b689,3,Diego Sanchez,10,2,30.0,6.0,32,-3,96.0,-9.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-2,0.0,-6.0
427a10db0406cfba,fe435e440b5de0ff,1,Jake Shields,1,-4,3.0,-12.0,22,10,66.0,30.0,0,-10,0.0,-30.0,1,-13,3.0,-39.0,0,-3,0.0,-9.0,0,-7,0.0,-21.0
427a10db0406cfba,fe435e440b5de0ff,2,Jake Shields,1,-1,3.0,-3.0,24,13,72.0,39.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
427a10db0406cfba,fe435e440b5de0ff,3,Jake Shields,2,1,6.0,3.0,25,20,75.0,60.0,0,0,0.0,0.0,0,0,0.0,0.0,0,-4,0.0,-12.0,0,-5,0.0,-15.0
2d050cb1f7d8789a,50db8711c70196cd,1,Ovince Saint,1,0,10.112359550561798,0.0,1,-3,10.112359550561798,-30.337078651685395,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
56b57d076f874eb0,8c0580d4fff106c1,1,Kelvin Gastelum,16,7,48.0,21.0,32,-10,96.0,-30.0,1,1,3.0,3.0,1,1,3.0,3.0,2,2,6.0,6.0,2,2,6.0,6.0
56b57d076f874eb0,8c0580d4fff106c1,2,Kelvin Gastelum,27,8,81.0,24.0,59,-17,177.0,-51.0,1,-1,3.0,-3.0,4,-1,12.0,-3.0,0,-1,0.0,-3.0,0,-3,0.0,-9.0
56b57d076f874eb0,8c0580d4fff106c1,3,Kelvin Gastelum,7,-4,21.0,-12.0,28,-2,84.0,-6.0,5,2,15.0,6.0,11,4,33.0,12.0,0,0,0.0,0.0,0,0,0.0,0.0
99170b2f2496e479,fc169c387b4b465d,1,Raquel Pennington,1,0,3.0,0.0,6,2,18.0,6.0,7,6,21.0,18.0,8,6,24.0,18.0,1,0,3.0,0.0,1,-2,3.0,-6.0
99170b2f2496e479,fc169c387b4b465d,2,Raquel Pennington,22,1,66.0,3.0,55,-1,165.0,-3.0,11,2,33.0,6.0,15,-2,45.0,-6.0,0,0,0.0,0.0,0,0,0.0,0.0
99170b2f2496e479,fc169c387b4b465d,3,Raquel Pennington,19,3,57.0,9.0,50,6,150.0,18.0,15,-2,45.0,-6.0,24,-8,72.0,-24.0,6,6,18.0,18.0,8,8,24.0,24.0
639013929b61e834,893d51aaf024eddd,1,Jimy Hettes,5,-4,15.0,-12.0,14,-11,42.0,-33.0,17,5,51.0,15.0,21,-1,63.0,-3.0,0,-2,0.0,-6.0,0,-4,0.0,-12.0
639013929b61e834,893d51aaf024eddd,2,Jimy Hettes,1,-1,3.0,-3.0,5,-1,15.0,-3.0,6,-4,18.0,-12.0,14,-5,42.0,-15.0,0,-6,0.0,-18.0,0,-18,0.0,-54.0
639013929b61e834,893d51aaf024eddd,3,Jimy Hettes,4,0,20.338983050847457,0.0,8,-5,40.67796610169491,-25.423728813559315,0,-3,0.0,-15.254237288135592,1,-5,5.084745762711864,-25.42372881355932,1,-6,5.084745762711864,-30.50847457627118,1,-12,5.084745762711864,-61.01694915254237
a5f39e8ff1398269,ab850a77a0fa487d,1,Sean Spencer,11,-1,33.0,-3.0,48,7,144.0,21.0,0,-3,0.0,-9.0,2,-6,6.0,-18.0,0,0,0.0,0.0,0,0,0.0,0.0
a5f39e8ff1398269,ab850a77a0fa487d,2,Sean Spencer,20,-5,60.0,-15.0,47,1,141.0,3.0,6,-2,18.0,-6.0,14,2,42.0,6.0,0,0,0.0,0.0,0,0,0.0,0.0
a5f39e8ff1398269,ab850a77a0fa487d,3,Sean Spencer,18,5,54.0,15.0,44,18,132.0,54.0,3,3,9.0,9.0,5,5,15.0,15.0,0,0,0.0,0.0,0,-2,0.0,-6.0
364ed6aecfc8d16d,97a6bbe6e6566a94,1,Francisco Trevino,0,-2,0.0,-6.0,18,0,54.0,0.0,0,0,0.0,0.0,0,-2,0.0,-6.0,0,-1,0.0,-3.0,1,0,3.0,0.0
364ed6aecfc8d16d,97a6bbe6e6566a94,2,Francisco Trevino,13,9,39.0,27.0,39,16,117.0,48.0,5,5,15.0,15.0,5,5,15.0,15.0,4,4,12.0,12.0,5,5,15.0,15.0
364ed6aecfc8d16d,97a6bbe6e6566a94,3,Francisco Trevino,13,10,39.0,30.0,29,14,87.0,42.0,12,8,36.0,24.0,18,7,54.0,21.0,0,0,0.0,0.0,1,1,3.0,3.0
0175c0d2a98576f1,9fa568ad2bf2cb0b,1,Justin Scoggins,15,13,45.0,39.0,30,12,90.0,36.0,6,6,18.0,18.0,6,5,18.0,15.0,0,0,0.0,0.0,0,0,0.0,0.0
0175c0d2a98576f1,9fa568ad2bf2cb0b,2,Justin Scoggins,3,1,9.0,3.0,16,0,48.0,0.0,0,0,0.0,0.0,1,0,3.0,0.0,3,3,9.0,9.0,5,3,15.0,9.0
0175c0d2a98576f1,9fa568ad2bf2cb0b,3,Justin Scoggins,0,0,0.0,0.0,2,-1,6.0,-3.0,0,0,0.0,0.0,0,0,0.0,0.0,34,34,102.0,102.0,43,43,129.0,129.0
8f979d206eaec468,5cafbc97dba2e797,1,Robert McDaniel,4,-3,13.186813186813186,-9.89010989010989,10,-6,32.967032967032964,-19.78021978021978,0,-2,0.0,-6.593406593406593,0,-2,0.0,-6.593406593406593,0,-11,0.0,-36.26373626373626,0,-17,0.0,-56.043956043956044
543dca66a449d9d5,361d49960a196976,1,Daniel Pineda,7,-2,21.0,-6.0,16,-3,48.0,-9.0,1,-4,3.0,-12.0,2,-7,6.0,-21.0,0,-1,0.0,-3.0,0,-1,0.0,-3.0
543dca66a449d9d5,361d49960a196976,2,Daniel Pineda,6,0,18.0,0.0,10,-1,30.0,-3.0,0,-1,0.0,-3.0,1,-1,3.0,-3.0,0,-2,0.0,-6.0,0,-4,0.0,-12.0
543dca66a449d9d5,361d49960a196976,3,Daniel Pineda,1,-1,3.0,-3.0,5,1,15.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,9,9,27.0,27.0,10,10,30.0,30.0
742fcd610f344810,3c6976f8182d9527,1,Alexander Gustafsson,8,2,24.0,6.0,16,7,48.0,21.0,1,0,3.0,0.0,1,0,3.0,0.0,2,2,6.0,6.0,3,3,9.0,9.0
742fcd610f344810,3c6976f8182d9527,2,Alexander Gustafsson,4,-2,46.15384615384615,-23.076923076923073,15,3,173.07692307692307,34.61538461538461,4,4,46.15384615384615,46.15384615384615,6,5,69.23076923076923,57.692307692307686,2,2,23.076923076923077,23.076923076923077,2,2,23.076923076923077,23.076923076923077
73f55778c5c55c2f,ccd1299e0345e0ce,1,Melvin Guillard,6,-9,18.0,-27.0,34,-5,102.0,-15.0,3,0,9.0,0.0,3,-1,9.0,-3.0,1,1,3.0,3.0,1,1,3.0,3.0
73f55778c5c55c2f,ccd1299e0345e0ce,2,Melvin Guillard,4,-10,12.0,-30.0,33,-8,99.0,-24.0,2,0,6.0,0.0,4,-5,12.0,-15.0,0,0,0.0,0.0,0,0,0.0,0.0
73f55778c5c55c2f,ccd1299e0345e0ce,3,Melvin Guillard,3,-4,9.0,-12.0,22,-14,66.0,-42.0,3,-4,9.0,-12.0,6,-11,18.0,-33.0,0,0,0.0,0.0,0,0,0.0,0.0
b5be58e7fa1e7439,c945adc22c2bfe8f,1,Brad Pickett,11,3,33.0,9.0,26,2,78.0,6.0,1,1,3.0,3.0,2,2,6.0,6.0,2,2,6.0,6.0,4,4,12.0,12.0
b5be58e7fa1e7439,c945adc22c2bfe8f,2,Brad Pickett,9,-2,27.0,-6.0,33,-2,99.0,-6.0,9,7,27.0,21.0,12,8,36.0,24.0,2,2,6.0,6.0,9,9,27.0,27.0
b5be58e7fa1e7439,c945adc22c2bfe8f,3,Brad Pickett,14,-8,42.0,-24.0,47,4,141.0,12.0,1,-3,3.0,-9.0,3,-5,9.0,-15.0,0,0,0.0,0.0,5,5,15.0,15.0
0b3c3d363c82835f,fd55393021a8c255,1,Gunnar Nelson,2,-4,6.521739130434783,-13.043478260869565,2,-14,6.521739130434783,-45.652173913043484,0,0,0.0,0.0,0,0,0.0,0.0,14,14,45.652173913043484,45.652173913043484,18,18,58.69565217391305,58.69565217391305
6242126d8d06a7ca,e9a3aeb207578eea,1,Ilir Latifi,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
406154260435c65a,a9bcf8717dd12532,1,Mats Nilsson,25,-16,85.22727272727273,-54.54545454545455,55,-58,187.5,-197.72727272727275,0,-4,0.0,-13.636363636363637,1,-3,3.409090909090909,-10.227272727272727,0,0,0.0,0.0,0,0,0.0,0.0
4911fcfb1b28faa5,6f7c616b98e18c29,1,Claudio Silva,13,4,39.0,12.0,22,3,66.0,9.0,0,0,0.0,0.0,0,0,0.0,0.0,2,2,6.0,6.0,2,2,6.0,6.0
4911fcfb1b28faa5,6f7c616b98e18c29,3,Claudio Silva,4,0,12.0,0.0,11,1,33.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0
54845ec0646a9bee,dbea8c1cb327ab3d,1,Igor Araujo,0,0,0.0,0.0,2,1,6.0,3.0,0,0,0.0,0.0,0,0,0.0,0.0,3,3,9.0,9.0,8,8,24.0,24.0
54845ec0646a9bee,dbea8c1cb327ab3d,2,Igor Araujo,0,-4,0.0,-12.0,2,-6,6.0,-18.0,1,-4,3.0,-12.0,1,-4,3.0,-12.0,1,1,3.0,3.0,3,3,9.0,9.0
54845ec0646a9bee,dbea8c1cb327ab3d,3,Igor Araujo,2,0,6.0,0.0,6,0,18.0,0.0,0,0,0.0,0.0,0,0,0.0,0.0,5,-2,15.0,-6.0,15,1,45.0,3.0
443791a8c6790cf0,ba043b03eb799063,1,Phil Harris,2,0,24.657534246575345,0.0,3,-1,36.986301369863014,-12.328767123287676,1,1,12.328767123287673,12.328767123287673,1,1,12.328767123287673,12.328767123287673,0,0,0.0,0.0,0,0,0.0,0.0
