bout_id,fighter_id,round,fighter,ss_s,ss_s_pr_di,ss_s_p15m,ss_s_p15m_di,ss_a,ss_a_pr_di,ss_a_p15m,ss_a_p15m_di,ts_s,ts_s_pr_di,ts_s_p15m,ts_s_p15m_di,ts_a,ts_a_pr_di,ts_a_p15m,ts_a_p15m_di,kd,kd_pr_di,kd_p15m,kd_p15m_di
0434a68809885ea1,7b6e40a73b567072,3,Shonie Carter,6,5,18.556701030927837,15.463917525773198,14,10,43.29896907216495,30.927835051546396,24,14,74.22680412371135,43.29896907216495,33,19,102.0618556701031,58.76288659793815,1,1,3.0927835051546393,3.0927835051546393
7a018ddd9239e45f,6291ac0a3726732f,1,Pete Williams,5,2,15.0,6.0,6,0,18.0,0.0,13,7,39.0,21.0,15,5,45.0,15.0,0,0,0.0,0.0
7a018ddd9239e45f,6291ac0a3726732f,2,Pete Williams,1,-11,10.227272727272728,-112.5,3,-17,30.681818181818183,-173.86363636363637,1,-15,10.227272727272728,-153.40909090909093,3,-21,30.681818181818183,-214.77272727272728,0,-2,0.0,-20.454545454545457
ef99fb08c6b06963,0e041d43a47d2e4b,1,Matt Lindland,9,7,27.0,21.0,18,14,54.0,42.0,43,40,129.0,120.0,57,52,171.0,156.0,0,0,0.0,0.0
ef99fb08c6b06963,0e041d43a47d2e4b,2,Matt Lindland,9,4,27.0,12.0,22,13,66.0,39.0,44,33,132.0,99.0,60,45,180.0,135.0,0,0,0.0,0.0
ef99fb08c6b06963,0e041d43a47d2e4b,3,Matt Lindland,4,2,13.793103448275863,6.8965517241379315,9,4,31.03448275862069,13.793103448275861,31,29,106.89655172413794,100.0,36,31,124.13793103448276,106.89655172413794,0,0,0.0,0.0
97a4b37cee48ea0b,6bb1d2b714d4b3bc,1,Joey Gilbert,3,-19,9.09090909090909,-57.575757575757564,7,-25,21.21212121212121,-75.75757575757575,11,-65,33.33333333333333,-196.96969696969694,15,-71,45.45454545454545,-215.15151515151513,0,0,0.0,0.0
49693a06fc1d8906,21b1132949f2a9b0,1,Steve Berger,0,-13,0.0,-39.0,5,-16,15.0,-48.0,30,9,90.0,27.0,35,6,105.0,18.0,0,0,0.0,0.0
49693a06fc1d8906,21b1132949f2a9b0,2,Steve Berger,2,-7,6.0,-21.0,5,-11,15.0,-33.0,35,15,105.0,45.0,40,13,120.0,39.0,0,0,0.0,0.0
49693a06fc1d8906,21b1132949f2a9b0,3,Steve Berger,0,-6,0.0,-18.0,8,-3,24.0,-9.0,43,33,129.0,99.0,54,39,162.0,117.0,0,0,0.0,0.0
f8820294bbe01486,2f732dd9210d301f,1,Tito Ortiz,7,7,196.875,196.875,7,6,196.875,168.75,7,7,196.875,196.875,7,6,196.875,168.75,0,0,0.0,0.0
a38ec65ac140fcf8,44260175069b6276,1,Jens Pulver,4,-4,12.0,-12.0,11,1,33.0,3.0,11,1,33.0,3.0,18,6,54.0,18.0,0,0,0.0,0.0
a38ec65ac140fcf8,44260175069b6276,2,Jens Pulver,9,3,27.0,9.0,18,5,54.0,15.0,25,18,75.0,54.0,34,20,102.0,60.0,0,0,0.0,0.0
a38ec65ac140fcf8,44260175069b6276,3,Jens Pulver,11,5,33.0,15.0,21,11,63.0,33.0,20,12,60.0,36.0,30,18,90.0,54.0,0,0,0.0,0.0
a38ec65ac140fcf8,44260175069b6276,4,Jens Pulver,8,1,24.0,3.0,34,13,102.0,39.0,17,10,51.0,30.0,43,22,129.0,66.0,0,0,0.0,0.0
a38ec65ac140fcf8,44260175069b6276,5,Jens Pulver,18,-5,54.0,-15.0,47,0,141.0,0.0,30,6,90.0,18.0,60,12,180.0,36.0,0,0,0.0,0.0
74d0da1f9df17b9e,263ebd4a669e1e98,1,Fabiano Iha,3,1,26.999999999999996,8.999999999999996,6,3,53.99999999999999,26.999999999999996,3,-3,26.999999999999996,-26.999999999999996,6,-1,53.99999999999999,-9.0,0,0,0.0,0.0
